,nblobs,areas,area0,area1
4900,2,,2476.5,2102.0
4901,2,,2479.0,2104.0
4902,2,,2460.0,2126.0
4903,2,,2462.5,2101.5
4904,2,,2461.5,2102.5
4905,2,,2465.0,2111.5
4906,2,,2479.0,2119.5
4907,2,,2479.0,2111.5
4908,2,,2506.5,2097.0
4909,2,,2483.5,2093.5
4910,2,,2471.0,2092.0
4911,2,,2452.5,2092.5
4912,2,,2460.5,2094.5
4913,2,,2479.5,2083.5
4914,2,,2480.5,2071.0
4915,2,,2486.0,2067.5
4916,2,,2463.5,2080.5
4917,2,,2474.0,2069.0
4918,2,,2479.0,2080.0
4919,0,,,
4920,2,,2476.5,2103.0
4921,2,,2467.5,2143.5
4922,2,,2481.5,2178.5
4923,2,,2481.0,2099.5
4924,2,,2484.0,2058.0
4925,2,,2468.0,2033.0
4926,2,,2472.5,1951.5
4927,2,,2468.5,1925.0
4928,2,,2481.5,1941.0
4929,2,,2496.5,1952.5
4930,2,,2495.0,1880.0
4931,2,,2498.0,1894.5
4932,2,,2494.0,1881.5
4933,2,,2492.5,1890.5
4934,2,,2502.5,1850.0
4935,2,,2497.5,1850.0
4936,2,,2505.5,1899.0
4937,2,,2502.5,1891.0
4938,2,,2503.5,1895.0
4939,2,,2510.0,1881.0
4940,2,,2508.5,1871.5
4941,2,,2510.5,1810.0
4942,2,,2507.5,1809.0
4943,2,,2503.0,1828.0
4944,2,,2509.5,1834.0
4945,2,,2499.0,1849.5
4946,2,,2500.5,1826.0
4947,2,,2488.5,1828.0
4948,2,,2489.0,1827.0
4949,2,,2485.0,1859.5
4950,2,,2442.5,1787.0
4951,2,,2449.0,1604.5
4952,2,,2455.5,1512.5
4953,1,,2442.5,
4954,1,,2432.5,
4955,1,,2436.0,
4956,2,,2459.0,1568.5
4957,2,,2446.0,1679.5
4958,2,,2432.5,1736.0
4959,2,,2422.0,1763.0
4960,2,,2433.5,1787.5
4961,2,,2434.0,1804.0
4962,2,,2427.5,1789.5
4963,2,,2425.0,1806.0
4964,2,,2440.5,1819.5
4965,2,,2411.5,1868.0
4966,2,,2436.0,1871.5
4967,2,,2433.5,1896.5
4968,2,,2409.0,1930.5
4969,2,,2421.5,1916.5
4970,2,,2413.0,1942.5
4971,2,,2420.0,1980.0
4972,2,,2419.5,1973.5
4973,2,,2417.0,1991.5
4974,2,,2417.0,1968.5
4975,2,,2423.0,1967.0
4976,2,,2431.5,1984.5
4977,2,,2431.5,2006.5
4978,2,,2409.0,2016.0
4979,2,,2406.5,2014.5
4980,2,,2409.5,2033.5
4981,2,,2414.5,2003.0
4982,2,,2410.0,2043.5
4983,2,,2409.5,2041.0
4984,2,,2408.0,2088.0
4985,2,,2408.5,2079.0
4986,2,,2409.5,2087.0
4987,2,,2418.0,2063.0
4988,2,,2415.5,2078.5
4989,2,,2412.5,2143.5
4990,2,,2420.0,2086.0
4991,2,,2419.0,2093.5
4992,2,,2402.0,2083.0
4993,2,,2411.5,2109.0
4994,2,,2412.5,2081.5
4995,2,,2398.5,2061.0
4996,2,,2390.0,2088.0
4997,2,,2384.0,2063.0
4998,2,,2399.5,2074.0
4999,2,,2395.5,2048.0
5000,2,,2400.5,2045.5
5001,2,,2377.5,2054.5
5002,2,,2345.5,2057.0
5003,2,,2330.0,2072.5
5004,2,,2340.5,2060.5
5005,2,,2319.0,2066.0
5006,2,,2305.5,2084.5
5007,2,,2323.0,2098.5
5008,2,,2301.0,2091.5
5009,2,,2238.5,2086.5
5010,2,,2218.5,2098.5
5011,2,,2203.5,2097.5
5012,2,,2207.0,2095.5
5013,2,,2147.0,2126.5
5014,2,,2166.0,2153.0
5015,2,,2190.0,2128.5
5016,2,,2201.0,2075.5
5017,2,,2187.5,2090.5
5018,2,,2176.5,2088.0
5019,2,,2155.5,2068.0
5020,2,,2106.0,2070.5
5021,2,,2075.0,2049.0
5022,2,,2072.5,2033.0
5023,2,,2040.5,2001.0
5024,2,,2049.0,2041.0
5025,2,,2097.0,1962.5
5026,2,,2147.5,1974.5
5027,2,,2143.5,1953.0
5028,2,,2093.0,1909.5
5029,2,,2077.0,1931.5
5030,2,,2060.0,1970.5
5031,2,,2091.0,1954.0
5032,2,,2140.5,1939.0
5033,2,,2053.0,1934.0
5034,2,,2015.0,1936.0
5035,2,,1946.5,1945.0
5036,2,,1922.0,1907.5
5037,2,,1947.0,1923.5
5038,2,,1979.5,1898.5
5039,2,,1999.0,1889.5
5040,2,,1959.5,1901.0
5041,2,,1925.0,1920.0
5042,2,,1913.0,1861.0
5043,2,,1909.5,1834.0
5044,2,,1923.0,1804.5
5045,2,,1925.5,1837.5
5046,2,,1944.0,1766.0
5047,2,,1952.5,1707.5
5048,2,,1966.5,1746.5
5049,2,,1953.0,1749.0
5050,2,,1966.0,1728.0
5051,2,,2006.0,1780.0
5052,2,,1979.5,1787.0
5053,2,,2005.5,1812.5
5054,2,,2014.0,1784.0
5055,2,,2032.5,1734.5
5056,2,,2057.5,1693.0
5057,2,,2062.0,1656.5
5058,2,,2093.0,1671.0
5059,2,,2102.5,1687.0
5060,2,,2124.0,1667.0
5061,2,,2134.0,1661.0
5062,2,,2132.5,1634.5
5063,2,,2135.5,1651.5
5064,2,,2175.0,1697.0
5065,2,,2163.0,1676.5
5066,2,,2182.0,1712.0
5067,2,,2193.0,1735.0
5068,2,,2173.5,1616.5
5069,2,,2164.0,1718.0
5070,2,,2145.5,1821.0
5071,2,,2176.5,1827.5
5072,2,,2211.0,1816.5
5073,2,,2151.5,1867.0
5074,2,,2101.0,1829.0
5075,2,,2039.5,1800.5
5076,2,,1999.5,1840.0
5077,2,,2017.5,1803.0
5078,2,,2024.5,1896.5
5079,2,,2115.0,1748.0
5080,2,,2162.5,1938.5
5081,2,,2147.5,1938.5
5082,2,,2159.5,1827.0
5083,2,,2170.5,1872.5
5084,2,,2167.0,1939.5
